Time	Iteration	NumSamples	NumberOfRollouts	MeanSumOfRewards	StdSumOfRewards	MaxSumOfRewards	MinSumOfRewards	MeanRolloutLens	StdRolloutLens	TotalNumberOfSamples	TotalNumberOfRollouts	BestSumOfRewards	stepsize	std	g_norm	ExplainVarianceBefore(AE)	ExplainVarianceAfter(AE)
8.293824195861816	0	2000	423	4.7281323877068555	1.6500843338189204	22.0	3.0	4.7281323877068555	1.6500843338189204	4003	592	4.7281323877068555	0.04914742314621951	0.13506515	13.548288	0.09235033477736887	0.21868377755924362
20.943955898284912	1	2000	367	5.449591280653951	1.7677225905665113	14.0	3.0	5.449591280653951	1.7677225905665113	6003	959	5.449591280653951	0.047433351810718956	0.13485563	15.150522	0.1075304362977424	0.4677204881737541
35.184765338897705	2	2005	350	5.728571428571429	2.2393967846685126	19.0	3.0	5.728571428571429	2.2393967846685126	8008	1309	5.728571428571429	0.046196377426786145	0.13462028	16.826548	0.6098347643564875	0.622393259246708
49.12313437461853	3	2006	350	5.731428571428571	2.237826934272421	26.0	3.0	5.731428571428571	2.237826934272421	10014	1659	5.731428571428571	0.04544828438118313	0.13437289	17.482435	0.5623836754062544	0.5726753858769816
62.13818597793579	4	2001	327	6.1192660550458715	2.3800577074269866	17.0	3.0	6.1192660550458715	2.3800577074269866	12015	1986	6.1192660550458715	0.04467089500608349	0.13414606	18.188997	0.5642298656165843	0.5691644493153285
74.15540933609009	5	2008	319	6.294670846394984	2.2172739768741048	16.0	3.0	6.294670846394984	2.2172739768741048	14023	2305	6.294670846394984	0.04424249967827887	0.13390982	16.233261	0.6003053867627626	0.6147409077088399
86.32898545265198	6	2002	297	6.7407407407407405	2.5366253444629625	20.0	3.0	6.7407407407407405	2.5366253444629625	16025	2602	6.7407407407407405	0.0432653109727235	0.1336639	18.434248	0.5883258746883262	0.594962865620722
97.96740198135376	7	2003	289	6.930795847750865	2.7241175308058314	19.0	3.0	6.930795847750865	2.7241175308058314	18028	2891	6.930795847750865	0.04271957594615271	0.13341142	16.671387	0.5700627224970125	0.5755431168681902
109.01979207992554	8	2003	272	7.363970588235294	2.900917015108621	22.0	4.0	7.363970588235294	2.900917015108621	20031	3163	7.363970588235294	0.041310392815435866	0.1331534	20.60262	0.5585520060510849	0.5626808249342203
120.20251965522766	9	2001	266	7.522556390977444	2.971268849775652	21.0	3.0	7.522556390977444	2.971268849775652	22032	3429	7.522556390977444	0.04046242283852361	0.13290036	20.486002	0.5357556429690958	0.5438913663304374
130.9172101020813	10	2005	262	7.652671755725191	3.07377054784597	27.0	4.0	7.652671755725191	3.07377054784597	24037	3691	7.652671755725191	0.03953650959361073	0.1326406	22.72767	0.5356828254840549	0.5382621541804347
142.1869261264801	11	2005	244	8.217213114754099	3.3690294516945642	20.0	4.0	8.217213114754099	3.3690294516945642	26042	3935	8.217213114754099	0.03847879416162858	0.1323751	24.13458	0.509901236277273	0.5178098426071345
152.96159768104553	12	2008	245	8.19591836734694	3.399037029517329	27.0	4.0	8.19591836734694	3.399037029517329	28050	4180	8.217213114754099	0.03733996081172936	0.13210459	26.82224	0.4837496152519072	0.492101990664635
163.4086775779724	13	2009	223	9.008968609865471	3.5218612987997227	21.0	4.0	9.008968609865471	3.5218612987997227	30059	4403	9.008968609865471	0.03656295349508481	0.1318296	26.042341	0.5032318422444053	0.5062019681513414
173.96712708473206	14	2008	202	9.94059405940594	4.202360916301192	28.0	3.0	9.94059405940594	4.202360916301192	32067	4605	9.94059405940594	0.03509854797270619	0.13155158	36.13452	0.49843463573589253	0.5072553090867311
184.5305233001709	15	2005	205	9.78048780487805	4.5719835857522355	30.0	3.0	9.78048780487805	4.5719835857522355	34072	4810	9.94059405940594	0.03388836633522573	0.1312696	38.634895	0.45759979929192507	0.47160370935583573
203.90315747261047	16	2000	197	10.152284263959391	4.157698182047502	25.0	4.0	10.152284263959391	4.157698182047502	36072	5007	10.152284263959391	0.03282669207375963	0.13098392	41.749374	0.47314963249271413	0.4788581841916991
222.2082085609436	17	2001	174	11.5	5.439056290693573	33.0	5.0	11.5	5.439056290693573	38073	5181	11.5	0.031254126303777864	0.1306945	55.66428	0.44827795772168655	0.46043028616096104
240.44040417671204	18	2000	168	11.904761904761905	5.423974661978691	32.0	4.0	11.904761904761905	5.423974661978691	40073	5349	11.904761904761905	0.029771728578288206	0.13040334	63.105045	0.4364285020506221	0.4474473964627972
259.46733236312866	19	2012	158	12.734177215189874	5.2644228908454975	30.0	4.0	12.734177215189874	5.2644228908454975	42085	5507	12.734177215189874	0.028755595211115766	0.13011235	62.7807	0.4535211446266111	0.47217214109298355
278.6873643398285	20	2007	139	14.43884892086331	6.3880679101475675	34.0	5.0	14.43884892086331	6.3880679101475675	44092	5646	14.43884892086331	0.027291755702223107	0.12981711	82.01141	0.44345481651690477	0.4527150280009412
297.93083596229553	21	2003	130	15.407692307692308	7.012841138112453	41.0	6.0	15.407692307692308	7.012841138112453	46095	5776	15.407692307692308	0.026241376134666438	0.12951851	84.18025	0.40844008647523045	0.4341391507789246
315.93950748443604	22	2008	112	17.928571428571427	7.471032494281647	39.0	5.0	17.928571428571427	7.471032494281647	48103	5888	17.928571428571427	0.024668812552727678	0.12922351	114.291954	0.42751573310774826	0.4484626216643518
332.3878126144409	23	2027	109	18.59633027522936	7.766216258480514	40.0	6.0	18.59633027522936	7.766216258480514	50130	5997	18.59633027522936	0.02375004971633828	0.12892301	108.200935	0.4578965847053341	0.49120111035832537
347.13150358200073	24	2012	95	21.178947368421053	9.182338823000805	59.0	7.0	21.178947368421053	9.182338823000805	52142	6092	21.178947368421053	0.02273798690785878	0.12861897	128.78677	0.41939664705704127	0.4484439230731361
363.62104988098145	25	2013	87	23.137931034482758	9.068288073994172	42.0	7.0	23.137931034482758	9.068288073994172	54155	6179	23.137931034482758	0.021914900358278994	0.1283102	127.74433	0.4503432025157563	0.4905990567924715
380.7694094181061	26	2013	84	23.964285714285715	9.387740775647158	61.0	8.0	23.964285714285715	9.387740775647158	56168	6263	23.964285714285715	0.021136254274918373	0.12802395	135.93065	0.5126603382118863	0.542638653441722
394.4626085758209	27	2001	80	25.0125	8.597228841318579	51.0	7.0	25.0125	8.597228841318579	58169	6343	25.0125	0.02043118224392592	0.12773626	140.87863	0.5467760029403088	0.5663879999792674
409.38241744041443	28	2007	75	26.76	9.04631048181154	50.0	9.0	26.76	9.04631048181154	60176	6418	26.76	0.019693945402460975	0.12745972	152.00249	0.6211057669366478	0.6471398046839967
